DroneCount,PartitionTime,FPS
250,1,293.6685
250,0,165.5191
250,0,144.2294
250,1,145.9236
250,1,105.2333
DroneCount,PartitionTime,FPS
250,1,329.674
250,1,160.5807
250,1,155.8166
250,1,153.259
250,1,83.67781
250,1,143.8828
250,1,124.4818
250,1,130.8986
DroneCount,PartitionTime,FPS
250,2,0
250,1,160.7872
250,1,75.28873
250,1,134.3472
250,1,136.2082
250,1,135.5454
250,1,132.3749
250,1,125.9097
250,1,120.8167
250,1,73.33421
250,1,134.0159
250,1,127.4714
DroneCount,PartitionTime,FPS
250,2,74.22417
250,2,73.78985
250,1,68.71483
250,1,73.26866
250,1,106.1166
250,1,103.9361
250,1,106.3389
250,1,110.606
250,1,108.6225
250,1,103.3464
250,1,102.8352
250,1,99.29993
250,1,108.7134
DroneCount,PartitionTime,FPS
250,2,180.7501
250,1,89.40945
250,1,80.15197
250,1,66.13625
250,1,74.99456
250,1,76.30501
250,1,89.80289
250,1,92.5566
250,1,75.25983
DroneCount,PartitionTime,FPS
250,2,131.9157
250,2,74.00227
250,1,75.69965
250,1,40.68613
250,1,64.97979
250,1,51.1339
250,1,95.7781
250,1,86.26936
250,1,52.72121
250,1,92.25603
250,1,98.91589
250,1,96.76983
250,1,86.63709
250,1,86.23292
DroneCount,PartitionTime,FPS
250,2,63.04176
250,1,86.68366
250,1,82.66581
250,1,95.095
250,1,112.2057
250,2,102.3699
250,1,92.08188
250,1,96.65011
250,1,104.2481
250,1,97.27153
DroneCount,PartitionTime,FPS
250,3,142.4562
250,2,62.55395
250,1,75.30121
250,1,66.19624
250,1,80.08585
250,1,73.36165
250,1,100.45
250,1,86.32895
250,1,104.8075
250,1,105.1193
250,1,90.76469
250,1,104.3983
250,1,101.6694
250,1,90.40038
250,1,89.91188
250,1,107.6971
250,1,103.4747
250,1,103.3699
250,12,97.38995
250,1,105.0862
250,1,105.3708
250,2,101.8724
250,1,101.3028
250,1,99.44707
250,1,96.44689
250,1,105.0376
250,1,91.26669
250,1,89.37589
250,1,20.69014
250,1,95.68737
250,1,90.22746
250,1,95.79737
250,1,95.50368
250,1,95.58493
250,1,97.03275
250,1,93.04749
250,1,95.96561
250,1,89.62982
250,1,93.0423
250,1,104.0269
250,1,84.31846
250,1,100.5895
250,1,101.3839
250,1,88.35951
250,1,96.87857
250,1,103.9339
250,1,103.7937
250,1,95.88831
250,1,96.74829
250,1,94.01677
250,1,99.3542
250,1,89.38628
250,1,100.1783
DroneCount,PartitionTime,FPS
250,2,217.8792
250,2,84.49158
250,2,42.31085
250,2,80.56265
250,2,45.68546
250,2,68.26731
250,1,45.24539
250,1,39.84508
250,1,82.76091
250,1,77.7968
250,1,82.94901
250,1,83.41814
250,1,50.94036
250,1,89.10988
250,1,83.3938
250,1,78.76683
250,1,56.25721
250,1,48.00791
250,1,71.76072
DroneCount,PartitionTime,FPS
250,2,191.3326
250,2,94.01854
250,1,41.26706
250,2,74.24677
250,2,36.16244
250,2,74.85423
250,1,81.5089
250,1,75.2859
DroneCount,PartitionTime,FPS
250,2,163.5296
250,2,89.62903
250,2,74.14493
250,1,81.36299
250,1,88.21065
250,1,89.92805
250,1,86.91495
250,1,100.8715
250,1,95.24717
250,1,101.5651
250,1,98.66312
250,1,60.99607
250,1,87.06706
250,1,107.9121
250,1,105.3963
250,1,94.32361
250,1,101.1306
250,1,87.03751
250,1,98.47172
250,1,92.01325
250,1,96.77357
250,1,106.3038
250,1,95.93154
250,1,97.24693
250,1,94.78493
250,2,88.7926
250,1,90.99678
250,1,95.54292
250,1,100.9846
250,1,89.8408
250,1,87.21362
